"", "Fixed line" , "Afghanistan" ,  93 , "0.1"
"", "Mobile line" , "Afghanistan" ,  9370 , "0.1"
"", "Mobile line" , "Afghanistan" ,  9375 , "0.1"
"", "Mobile line" , "Afghanistan" ,  9377 , "0.1"
"", "Mobile line" , "Afghanistan" ,  9378 , "0.1"
"", "Mobile line" , "Afghanistan" ,  9379 , "0.1"
"", "Fixed line" , "Albania" ,  355 , "0.1"
"", "Mobile line" , "Albania" ,  35567 , "0.1"
"", "Mobile line" , "Albania" ,  35568 , "0.1"
"", "Mobile line" , "Albania" ,  35569 , "0.1"
"", "Fixed line" , "Algeria" ,  213 , "0.1"
"", "Mobile line" , "Algeria" ,  2136 , "0.1"
"", "Mobile line" , "Algeria" ,  2137 , "0.1"
"", "Mobile line" , "Algeria" ,  2139 , "0.1"
"", "Fixed line" , "Algeria [Wataniya]" ,  2135 , "0.1"
"", "Fixed line" , "Algeria [Wataniya]" ,  21355 , "0.1"
"", "Fixed line" , "American Samoa" ,  1684 , "0.1"
"", "Fixed line" , "American Samoa" ,  684 , "0.1"
"", "Mobile line" , "American Samoa" ,  1684252 , "0.1"
"", "Mobile line" , "American Samoa" ,  1684254 , "0.1"
"", "Mobile line" , "American Samoa" ,  1684258 , "0.1"
"", "Fixed line" , "Andorra" ,  376 , "0.1"
"", "Mobile line" , "Andorra" ,  3763 , "0.1"
"", "Mobile line" , "Andorra" ,  3764 , "0.1"
"", "Mobile line" , "Andorra" ,  3766 , "0.1"
"", "Fixed line" , "Angola" ,  244 , "0.1"
"", "Mobile line" , "Angola" ,  24491 , "0.1"
"", "Mobile line" , "Angola" ,  24492 , "0.1"
"", "Mobile line" , "Angola" ,  24493 , "0.1"
"", "Fixed line" , "Anguilla" ,  1264 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264235 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264469 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264476 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264536 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264537 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264538 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264539 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264581 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264582 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264583 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264584 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264724 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264729 , "0.1"
"", "Mobile line" , "Anguilla" ,  1264772 , "0.1"
"", "Fixed line" , "Antarctica" ,  67210 , "0.1"
